# epoch 	 train_loss 	  dev_loss 	 test_loss 	 dev_ner 	 dev_rel 	 test_ner 	 test_rel
0 	 1.8085 	 0.8549 	 0.8626 	 0.8691 	 0.7486 	 0.8661 	 0.7430
1 	 0.3493 	 0.8018 	 0.8899 	 0.8898 	 0.7622 	 0.8729 	 0.7562
2 	 0.2493 	 0.9921 	 1.1746 	 0.8920 	 0.7799 	 0.8711 	 0.7665
3 	 0.1995 	 1.1013 	 1.2952 	 0.8875 	 0.7923 	 0.8785 	 0.7624
4 	 0.1686 	 1.3039 	 1.4793 	 0.8920 	 0.7871 	 0.8751 	 0.7611
5 	 0.1304 	 1.3234 	 1.3664 	 0.8909 	 0.8080 	 0.8877 	 0.7905
6 	 0.1058 	 1.7412 	 1.8503 	 0.8777 	 0.7644 	 0.8757 	 0.7767
7 	 0.0977 	 1.5778 	 1.7995 	 0.8941 	 0.8061 	 0.8858 	 0.7928
8 	 0.0715 	 1.4789 	 1.9111 	 0.9054 	 0.8280 	 0.8844 	 0.7957
9 	 0.0642 	 1.7346 	 1.7756 	 0.8953 	 0.8059 	 0.8944 	 0.7991
10 	 0.0688 	 1.5406 	 1.7382 	 0.8996 	 0.8185 	 0.8909 	 0.7929
11 	 0.0637 	 1.6251 	 1.9084 	 0.9005 	 0.8084 	 0.8915 	 0.7953
12 	 0.0486 	 1.6348 	 1.9435 	 0.9066 	 0.8350 	 0.8947 	 0.7924
13 	 0.0477 	 1.8727 	 2.2512 	 0.8926 	 0.8054 	 0.8801 	 0.7818
14 	 0.0559 	 1.9858 	 2.3376 	 0.8976 	 0.8003 	 0.8873 	 0.7786
15 	 0.0506 	 1.6369 	 2.0711 	 0.8937 	 0.8089 	 0.8748 	 0.7689
16 	 0.0497 	 2.0155 	 2.2230 	 0.8908 	 0.8055 	 0.8852 	 0.7837
17 	 0.0402 	 1.8474 	 2.1286 	 0.9072 	 0.8241 	 0.8937 	 0.7981
18 	 0.0456 	 2.2305 	 2.5378 	 0.9025 	 0.8126 	 0.8866 	 0.7887
19 	 0.0362 	 2.2694 	 2.3093 	 0.8938 	 0.7945 	 0.8949 	 0.8053
20 	 0.0381 	 2.2485 	 2.3447 	 0.8897 	 0.8015 	 0.8854 	 0.7917
21 	 0.0395 	 2.0423 	 2.0512 	 0.8854 	 0.8006 	 0.8849 	 0.7907
22 	 0.0542 	 1.8337 	 2.2381 	 0.9042 	 0.8293 	 0.8800 	 0.7846
23 	 0.0401 	 2.1087 	 2.6785 	 0.8886 	 0.7901 	 0.8717 	 0.7615
24 	 0.0386 	 2.0366 	 2.3345 	 0.8946 	 0.8042 	 0.8802 	 0.7854
25 	 0.0483 	 2.2847 	 2.2312 	 0.8824 	 0.7896 	 0.8856 	 0.7921
26 	 0.0388 	 2.2073 	 2.5107 	 0.9015 	 0.8058 	 0.8864 	 0.7850
27 	 0.0486 	 2.0638 	 2.2221 	 0.8915 	 0.8102 	 0.8914 	 0.7947
28 	 0.0362 	 2.1138 	 2.2963 	 0.8948 	 0.8156 	 0.8881 	 0.7927
29 	 0.0301 	 2.4393 	 2.5299 	 0.8831 	 0.7784 	 0.8763 	 0.7679
30 	 0.0354 	 1.7947 	 2.0642 	 0.9004 	 0.8211 	 0.8899 	 0.7933
31 	 0.0284 	 2.4312 	 2.2299 	 0.8841 	 0.7743 	 0.8945 	 0.8031
32 	 0.0369 	 2.1276 	 2.2584 	 0.8843 	 0.7894 	 0.8867 	 0.7882
33 	 0.0345 	 1.9460 	 2.0011 	 0.8939 	 0.8064 	 0.8950 	 0.7982
34 	 0.0350 	 2.2261 	 2.3911 	 0.8840 	 0.7990 	 0.8724 	 0.7728
35 	 0.0295 	 2.3650 	 2.3843 	 0.8815 	 0.7886 	 0.8824 	 0.7847
36 	 0.0342 	 2.3542 	 2.5187 	 0.8929 	 0.8006 	 0.8881 	 0.7899
37 	 0.0206 	 2.1687 	 2.5350 	 0.9065 	 0.8234 	 0.8925 	 0.7960
38 	 0.0224 	 2.1919 	 2.4081 	 0.8995 	 0.8118 	 0.8871 	 0.7888
39 	 0.0269 	 2.1715 	 2.3300 	 0.8905 	 0.8000 	 0.8848 	 0.7831
40 	 0.0215 	 2.3282 	 2.5295 	 0.8951 	 0.8085 	 0.8917 	 0.7921
41 	 0.0257 	 2.4663 	 2.7184 	 0.8843 	 0.7723 	 0.8746 	 0.7569
42 	 0.0641 	 2.0542 	 2.4661 	 0.8993 	 0.8099 	 0.8830 	 0.7729
43 	 0.0375 	 2.2402 	 2.6673 	 0.9015 	 0.8180 	 0.8880 	 0.7919
44 	 0.0242 	 2.4800 	 2.6641 	 0.8949 	 0.7959 	 0.8888 	 0.7847
45 	 0.0262 	 2.0672 	 2.4560 	 0.8929 	 0.7987 	 0.8807 	 0.7818
46 	 0.0215 	 2.1052 	 2.5707 	 0.9009 	 0.8072 	 0.8872 	 0.7920
47 	 0.0303 	 2.1699 	 2.6132 	 0.8960 	 0.7991 	 0.8777 	 0.7716
48 	 0.0449 	 2.2925 	 2.5433 	 0.8959 	 0.7987 	 0.8853 	 0.7765
49 	 0.0301 	 1.7741 	 2.0047 	 0.9000 	 0.7997 	 0.8826 	 0.7754
best test result ner-p: 0.8780 	 ner-r: 0.9120 	 ner-f: 0.8947 	 re-p: 0.7655 	 re-r: 0.8212 	 re-f: 0.7924 
